label,class_name,precision,recall,f1_score,support
0,Normal,0.9982354853189283,0.97182164760484,0.9848514927082538,66363
1,AITM_T0830,0.65,0.22807017543859648,0.33766233766233766,57
2,Change_Operating_Mode_T0858,0.10050251256281408,0.4,0.1606425702811245,50
3,Data_from_Local_System_T0893,1.0,0.6666666666666666,0.8,3
4,Detect_Operating_Mode_T0868,0.50210716435882,0.9910873440285205,0.6665334665334666,1683
5,File_and_Directory_Discovery_T1083,0.6,1.0,0.75,3
6,Modify_Alarm_Settings_T0838,0.0,0.0,0.0,4
7,Modify_Controller_Tasking_T0821,0.0,0.0,0.0,4
8,Modify_Parameters_T0836,0.0,0.0,0.0,4
9,Network_Enumeration_T0840,0.9738095238095238,0.9879227053140096,0.9808153477218226,1242
10,Remote_Services_T0886,0.0,0.0,0.0,3
11,Remote_System_Discovery_T0846,0.9959100204498977,0.9969293756397134,0.9964194373401535,977
