label,class_name,precision,recall,f1_score,support
0,Normal,0.9776532374607875,0.83591760468936,0.9012469030502417,66363
1,AITM_T0830,0.09047619047619047,0.3333333333333333,0.14232209737827714,57
2,Change_Operating_Mode_T0858,0.7241379310344828,0.84,0.7777777777777778,50
3,Data_from_Local_System_T0893,1.0,0.6666666666666666,0.8,3
4,Detect_Operating_Mode_T0868,0.04118808327351041,0.2727272727272727,0.07156778669992983,1683
5,File_and_Directory_Discovery_T1083,1.0,1.0,1.0,3
6,Modify_Alarm_Settings_T0838,0.0,0.0,0.0,4
7,Modify_Controller_Tasking_T0821,0.0,0.0,0.0,4
8,Modify_Parameters_T0836,0.5,0.5,0.5,4
9,Network_Enumeration_T0840,0.997588424437299,0.999194847020934,0.998390989541432,1242
10,Remote_Services_T0886,1.0,0.6666666666666666,0.8,3
11,Remote_System_Discovery_T0846,1.0,1.0,1.0,977
